 ticket_id, title
78,allow for making diff from the current working directory to HEAD
75,Improve temp path generation
71,"Create ""clone --recursive"" tests (after adding support for submodules)"
69,git.status.push_delivered_in_percent 
64,Git::Base#in_remote_branch? and Git::Base#is_local_branch? have conflicts for branches sharing the name
60,Additions for serving versioned files from rails/Automatically untrack deleted files.
59,Showing commits from all branches on a given repo
54,fix utf8 issue + remove deprecated has_rdoc
53,Add git show <ref>:<filename>
47,status ignores dotfiles
44,Reset improvements
43,Add merge_base (and merge_tree in Lib)
39,Update escaping for file names to handle files with single quotes
38,Added options to tag method.
37,Added git ls-remote command to Git::Lib
36,Multiline commits are not parsed correctly
33,Crash if log contains foreign characters(?)
31,Ability to list staged files only
28,Git.clone does not allow passing in a logger
27,Support for annotated tags.
25,diff_parent on the first commit in a repo doesn't degrade gracefully
24,Support for annotated release tags with Git
23,ruby-git status and command line git status differ 
21,Untitled
19,Added a submodule command.
18,Untracked files in Status but nothing to commit
15,Clone no-checkout (-n)
14,Added git-blame support
13,status out of sync?
11,complete ignored files
8,Please update the readme to indicate that Grit is the one to use
7,Git log should support the --decorate option
5,"Git::Lib#escape does not work, escapes incorrectly"
2,Objects return wrong SHA after calling 'date' 
1,Test case failure; with (very rough) proposed fix
228,"fails to parse ""03/10/2013 12:00 AM"", ""0"
227,If I select a date in now: that is the same day in the parse it gives me the next matching date instead of the same day
225,"Chronic fails to parse 'Jan 1, 12:00 noon'"
223,Hook for language support
222,next week sunday returning nil
221,"Chronic.parse('string', guess: false).end gives incorrect date-time"
216,Allow weeks to start on monday
214,Made time_class thread safe
210,Chronic.parse('first monday of the month at 9am') doesn't work
205,Control how numbers on their own are treated
203,"Does not parse ""the monday after next"" :o("
191,Support an option to preserve timezone offset
189,Setting time zone and thread safety
182,Changes to Time.zone are not reflected in Chronic parsing
179,Possible daylight savings time issue for March 10 in AST (Rails)
177,"Getting nil trying to parse 'March 10, 2013 at 12am'"
167,"""Last winter"" range returns ending date earlier than start date"
151,"Issues Parsing ""Second"" as an Ordinal Number"
147,Daylight Savings not handled properly
141,"Chronic.parse('2000', :guess => false) returns 20:00, not the year 2000"
134,Time zones only work with certain formats
129,Chronic.parse('next year Jan 1 12:00') return nil
127,Chronic does not treat PM times past 6 PM correctly
122,:context => :past ignored?
113,Add localization support for chronic
104,"Chronic.parse('1200') returns 12am, not 12pm"
88,:guess => false includes next day
85,New context: this_year
84,"""9 AM tomorrow"" does not parse"
83,Different results when parsing '1st' and 'first'
78,Summer 2003 returns as 20:03 on Jan 21st
60,":context => :past mostly ignored when parsing time (6am, 2:00)"
26,last day of the month
24,"request: teach chronic to parse ""last quarter"
9,doc
8,
7,blakerry 9300
5,work
4,Changed link to al3x's fork
3,Sinatra 1.0 in file templates method deprecation
2,It does not start with the following versions:
2,Plugins need upgrade
1,Sessions Donot Clear
53,Create Partial from Selection not working
52,"Failure running ""Quick Migration"", ""1"
51,Install with Git
49,Update Snippets/image_tag.tmSnippet
48,New snippets and refactoring
47,New snippet for attr_accessible
46,Added json to Create resources Controller
45,Add Go To Alternate File for haml with gem 'haml' in Gemfile
44,Rails 3 refactor
42,Update Create Resources Controller Class snippet to use JSON instead of XML
41,Fix migration snippets for Rails 3.1 so they can find def down as well as def self.down
36,Add support for folding if statements in ERB
35,Cucumber syntax warning
34,Added elsif ERB snippet
32,add support for slim
31,path error when using Show DB Schema for Current Class
30,Class definition with :: doesn't seem to be honored with code coloring
29,rails 3 generators from textmate
27,erb indentation not quite right?
25,Editing js.erb files in Rails 3
23,Show error when rails path is not found
22,opt-cmd-down does not see js.erb view files
21,Untitled
20,"generate {scaffold, ...} command tries to run script/generate in Rails 3"
19,Bundle Help displaying keystrokes incorrectly
18,insert_add_column_or_create_table.rb:9:in `unprepend': private method `split' called for #<Array:0x1011e9d60> (NoMethodError)
16,
15,show db schema doesnt work with ruby 1.9
13,Running test from TextMate in a Rails 3 project
11,Assertions
10,How will we support Rails 2 and Rails 3 in the Commands and Snippets?
8,Autocomplete Foreign Key Fixture Reference runtime error
2,'Remote' is added to the global namespace
1,$.fn.delegate overwrites the default jquery method
74,Adding support for m1.medium instances.
72,add license information to the gemspec
