" ticket_id"," title"," totalcomments"," created"
"1-2","Should throw errors",4,"2012-03-27 08:30:03"
"27-2780","Missing rubysl-tracer as default gem",1,"2012-03-14 02:00:42"
"27-2779","Make configure --llvm-path check llvm version",0,"2012-02-07 12:31:35"
"27-2778","Process.spawn with non-existing command should set $? accordingly.",0,"2011-12-03 13:10:08"
"27-2776","crash report - Thread deadlock in ::lock()!",8,"2011-11-22 16:25:32"
"27-2775","crash during execution",0,"2011-11-13 05:43:06"
"27-2772","IO#read without args on a socket should return ASCII-8BIT string",0,"2011-10-20 12:40:57"
"27-2771","rb_io_get_io missing from C-API",0,"2011-10-15 06:51:57"
"27-2765","Omniauth undefined method `encoding' on nil:NilClass.",19,"2011-10-08 08:18:59"
"27-2764","Unable to unpack bootstrap gems during configure",3,"2011-09-26 20:56:30"
"27-2758","getsockopt with symbol level,optname fails",0,"2011-09-15 17:08:30"
"27-2756","still missing some socket constants",0,"2011-09-14 16:03:30"
"27-2754","FD_CLOEXEC should be default for Ruby 2.0 compatibility",0,"2011-08-29 07:05:18"
"27-2746","BigDecimal is too slow (need benchmark)",2,"2011-08-24 16:39:10"
"27-2740"," Too many open files - creating pipe (Errno::EMFILE)",7,"2011-08-16 10:08:13"
"27-2737","Some failures when running the mspecs on OpenBSD",9,"2011-08-15 12:43:38"
"27-2734","Rubinius build options override those provided to gem installs",1,"2011-08-14 00:32:31"
"27-2732","Unable to rbx -S gem install bundler with rubinius 2.1.1 on OpenBSD",11,"2011-08-05 01:13:04"
"27-2730","RSpec / Rails: Slow startup/run times.",18,"2011-08-02 06:06:59"
"27-2711","Global variables with local scope",4,"2011-07-20 08:36:34"
"27-2710","JSON.dump performance issue",2,"2011-07-19 14:47:54"
"27-2708","crash report",2,"2011-07-13 02:04:33"
"27-2692","Abort on running a threaded task",2,"2011-07-12 08:39:33"
"27-2691","Installing rubinius 2.x.x fails",13,"2011-07-07 01:48:19"
"27-2685","IO#ensure_open_and_writable might not check writability correctly",1,"2011-06-21 07:40:20"
"27-2682","Rails server raises exception",3,"2011-06-16 03:56:13"
"27-2679","Crash when firing up Rails app",6,"2011-06-02 02:34:28"
"27-2678","Problem destructuring block arguments with unused (_) variables",0,"2011-05-26 17:06:30"
"27-2674","Crash when using Pry in highly concurrent environment",2,"2011-05-06 13:59:12"
"27-2673","Crash when very quickly creating 300+ threads",2,"2011-04-13 19:10:45"
"27-2669","keyword arguments",17,"2011-03-20 18:12:27"
"27-2666","Encoding related spec failures in Debian chroot",2,"2011-02-25 08:16:19"
"27-2662","mysql2 related crashes when running specs",7,"2011-02-10 02:10:48"
